工作表,单元格,渠道,月份,预算项目,源行,公式,缓存值
总表-渠道二维汇总,DW18,私域,2026-02,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DX18,私域,2026-03,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DY18,私域,2026-04,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,DZ18,私域,2026-05,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EA18,私域,2026-06,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EB18,私域,2026-07,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EC18,私域,2026-08,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,ED18,私域,2026-09,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EE18,私域,2026-10,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EF18,私域,2026-11,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EG18,私域,2026-12,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EK18,外部分销,2026-01,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EL18,外部分销,2026-02,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EM18,外部分销,2026-03,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EN18,外部分销,2026-04,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EO18,外部分销,2026-05,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EP18,外部分销,2026-06,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EQ18,外部分销,2026-07,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,ER18,外部分销,2026-08,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,ES18,外部分销,2026-09,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,ET18,外部分销,2026-10,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EU18,外部分销,2026-11,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EV18,外部分销,2026-12,渠道投入/商务政策费用,18,"=""""",
总表-渠道二维汇总,EK21,外部分销,2026-01,达人费用/达人视频采买,21,='测算-外部分销'!I$28,
总表-渠道二维汇总,EL21,外部分销,2026-02,达人费用/达人视频采买,21,='测算-外部分销'!J$28,
总表-渠道二维汇总,EM21,外部分销,2026-03,达人费用/达人视频采买,21,='测算-外部分销'!K$28,
总表-渠道二维汇总,EN21,外部分销,2026-04,达人费用/达人视频采买,21,='测算-外部分销'!L$28,
总表-渠道二维汇总,EO21,外部分销,2026-05,达人费用/达人视频采买,21,='测算-外部分销'!M$28,
总表-渠道二维汇总,EP21,外部分销,2026-06,达人费用/达人视频采买,21,='测算-外部分销'!N$28,
总表-渠道二维汇总,EK22,外部分销,2026-01,达人费用/达人视频带货佣金,22,='测算-外部分销'!I$29,
总表-渠道二维汇总,EL22,外部分销,2026-02,达人费用/达人视频带货佣金,22,='测算-外部分销'!J$29,
总表-渠道二维汇总,EM22,外部分销,2026-03,达人费用/达人视频带货佣金,22,='测算-外部分销'!K$29,
总表-渠道二维汇总,EN22,外部分销,2026-04,达人费用/达人视频带货佣金,22,='测算-外部分销'!L$29,
总表-渠道二维汇总,EO22,外部分销,2026-05,达人费用/达人视频带货佣金,22,='测算-外部分销'!M$29,
总表-渠道二维汇总,EP22,外部分销,2026-06,达人费用/达人视频带货佣金,22,='测算-外部分销'!N$29,
总表-渠道二维汇总,EK23,外部分销,2026-01,达人费用/达人直播带货佣金,23,='测算-外部分销'!I$30,
总表-渠道二维汇总,EL23,外部分销,2026-02,达人费用/达人直播带货佣金,23,='测算-外部分销'!J$30,
总表-渠道二维汇总,EM23,外部分销,2026-03,达人费用/达人直播带货佣金,23,='测算-外部分销'!K$30,
总表-渠道二维汇总,EN23,外部分销,2026-04,达人费用/达人直播带货佣金,23,='测算-外部分销'!L$30,
总表-渠道二维汇总,EO23,外部分销,2026-05,达人费用/达人直播带货佣金,23,='测算-外部分销'!M$30,
总表-渠道二维汇总,EP23,外部分销,2026-06,达人费用/达人直播带货佣金,23,='测算-外部分销'!N$30,
总表-渠道二维汇总,EK24,外部分销,2026-01,达人费用/达人直播坑位费,24,='测算-外部分销'!I$31,
总表-渠道二维汇总,EL24,外部分销,2026-02,达人费用/达人直播坑位费,24,='测算-外部分销'!J$31,
总表-渠道二维汇总,EM24,外部分销,2026-03,达人费用/达人直播坑位费,24,='测算-外部分销'!K$31,
总表-渠道二维汇总,EN24,外部分销,2026-04,达人费用/达人直播坑位费,24,='测算-外部分销'!L$31,
总表-渠道二维汇总,EO24,外部分销,2026-05,达人费用/达人直播坑位费,24,='测算-外部分销'!M$31,
总表-渠道二维汇总,EP24,外部分销,2026-06,达人费用/达人直播坑位费,24,='测算-外部分销'!N$31,
总表-渠道二维汇总,EK28,外部分销,2026-01,行销支持/促销物料,28,='测算-外部分销'!I$33,
总表-渠道二维汇总,EL28,外部分销,2026-02,行销支持/促销物料,28,='测算-外部分销'!J$33,
总表-渠道二维汇总,EM28,外部分销,2026-03,行销支持/促销物料,28,='测算-外部分销'!K$33,
总表-渠道二维汇总,EN28,外部分销,2026-04,行销支持/促销物料,28,='测算-外部分销'!L$33,
总表-渠道二维汇总,EO28,外部分销,2026-05,行销支持/促销物料,28,='测算-外部分销'!M$33,
总表-渠道二维汇总,EP28,外部分销,2026-06,行销支持/促销物料,28,='测算-外部分销'!N$33,
总表-渠道二维汇总,EK29,外部分销,2026-01,行销支持/赠饮样品费,29,='测算-外部分销'!I$34,
总表-渠道二维汇总,EL29,外部分销,2026-02,行销支持/赠饮样品费,29,='测算-外部分销'!J$34,
总表-渠道二维汇总,EM29,外部分销,2026-03,行销支持/赠饮样品费,29,='测算-外部分销'!K$34,
总表-渠道二维汇总,EN29,外部分销,2026-04,行销支持/赠饮样品费,29,='测算-外部分销'!L$34,
总表-渠道二维汇总,EO29,外部分销,2026-05,行销支持/赠饮样品费,29,='测算-外部分销'!M$34,
总表-渠道二维汇总,EP29,外部分销,2026-06,行销支持/赠饮样品费,29,='测算-外部分销'!N$34,
总表-渠道二维汇总,EK34,外部分销,2026-01,仓储物流/干线费用,34,='测算-外部分销'!I$39,
总表-渠道二维汇总,EL34,外部分销,2026-02,仓储物流/干线费用,34,='测算-外部分销'!J$39,
总表-渠道二维汇总,EM34,外部分销,2026-03,仓储物流/干线费用,34,='测算-外部分销'!K$39,
总表-渠道二维汇总,EN34,外部分销,2026-04,仓储物流/干线费用,34,='测算-外部分销'!L$39,
总表-渠道二维汇总,EO34,外部分销,2026-05,仓储物流/干线费用,34,='测算-外部分销'!M$39,
总表-渠道二维汇总,EP34,外部分销,2026-06,仓储物流/干线费用,34,='测算-外部分销'!N$39,
总表-渠道二维汇总,EK40,外部分销,2026-01,人工成本/日常费用,40,='测算-外部分销'!I$45,
总表-渠道二维汇总,EL40,外部分销,2026-02,人工成本/日常费用,40,='测算-外部分销'!J$45,
总表-渠道二维汇总,EM40,外部分销,2026-03,人工成本/日常费用,40,='测算-外部分销'!K$45,
总表-渠道二维汇总,EN40,外部分销,2026-04,人工成本/日常费用,40,='测算-外部分销'!L$45,
总表-渠道二维汇总,EO40,外部分销,2026-05,人工成本/日常费用,40,='测算-外部分销'!M$45,
总表-渠道二维汇总,EP40,外部分销,2026-06,人工成本/日常费用,40,='测算-外部分销'!N$45,
